,price,location,area,facing,no_of_bedroom,no_of_bathroom,no_of_livingroom,no_of_kitchen,parking,road_size,furniture,floors
271,45000000,Buddhanilkantha,2930.0,SOUTH-WEST,5.0,4.0,3.0,1.0,223,13.0,,
274,63500000,Buddhanilkantha,3215.0,EAST-NORTH,6.0,5.0,3.0,1.0,225,13.0,,
275,55000000,Budhanilkantha,2755.0,SOUTH-WEST,5.0,5.0,2.0,1.0,222,20.0,,
276,79000000,Hattigauda,3155.0,SOUTH-WEST,5.0,6.0,3.0,1.0,334,13.0,,
278,39500000,Budhanilkantha,1.0,SOUTH-WEST,5.0,5.0,2.0,1.0,113,18.0,,
280,45000000,Buddhanilkantha,2930.0,SOUTH-WEST,5.0,4.0,3.0,1.0,223,13.0,,
283,63500000,Buddhanilkantha,3215.0,EAST-NORTH,6.0,5.0,3.0,1.0,225,13.0,,
284,55000000,Budhanilkantha,2755.0,SOUTH-WEST,5.0,5.0,2.0,1.0,222,20.0,,
285,79000000,Hattigauda,3155.0,SOUTH-WEST,5.0,6.0,3.0,1.0,334,13.0,,
287,39500000,Budhanilkantha,1.0,SOUTH-WEST,5.0,5.0,2.0,1.0,113,18.0,,
289,45000000,Buddhanilkantha,2930.0,SOUTH-WEST,5.0,4.0,3.0,1.0,223,13.0,,
292,63500000,Buddhanilkantha,3215.0,EAST-NORTH,6.0,5.0,3.0,1.0,225,13.0,,
293,55000000,Budhanilkantha,2755.0,SOUTH-WEST,5.0,5.0,2.0,1.0,222,20.0,,
294,79000000,Hattigauda,3155.0,SOUTH-WEST,5.0,6.0,3.0,1.0,334,13.0,,
296,39500000,Budhanilkantha,1.0,SOUTH-WEST,5.0,5.0,2.0,1.0,113,18.0,,
298,45000000,Buddhanilkantha,2930.0,SOUTH-WEST,5.0,4.0,3.0,1.0,223,13.0,,
301,63500000,Buddhanilkantha,3215.0,EAST-NORTH,6.0,5.0,3.0,1.0,225,13.0,,
302,55000000,Budhanilkantha,2755.0,SOUTH-WEST,5.0,5.0,2.0,1.0,222,20.0,,
303,79000000,Hattigauda,3155.0,SOUTH-WEST,5.0,6.0,3.0,1.0,334,13.0,,
305,39500000,Budhanilkantha,1.0,SOUTH-WEST,5.0,5.0,2.0,1.0,113,18.0,,
307,45000000,Buddhanilkantha,2930.0,SOUTH-WEST,5.0,4.0,3.0,1.0,223,13.0,,
310,63500000,Buddhanilkantha,3215.0,EAST-NORTH,6.0,5.0,3.0,1.0,225,13.0,,
311,55000000,Budhanilkantha,2755.0,SOUTH-WEST,5.0,5.0,2.0,1.0,222,20.0,,
312,79000000,Hattigauda,3155.0,SOUTH-WEST,5.0,6.0,3.0,1.0,334,13.0,,
314,39500000,Budhanilkantha,1.0,SOUTH-WEST,5.0,5.0,2.0,1.0,113,18.0,,
316,45000000,Buddhanilkantha,2930.0,SOUTH-WEST,5.0,4.0,3.0,1.0,223,13.0,,
319,63500000,Buddhanilkantha,3215.0,EAST-NORTH,6.0,5.0,3.0,1.0,225,13.0,,
320,55000000,Budhanilkantha,2755.0,SOUTH-WEST,5.0,5.0,2.0,1.0,222,20.0,,
321,79000000,Hattigauda,3155.0,SOUTH-WEST,5.0,6.0,3.0,1.0,334,13.0,,
323,39500000,Budhanilkantha,1.0,SOUTH-WEST,5.0,5.0,2.0,1.0,113,18.0,,
325,45000000,Buddhanilkantha,2930.0,SOUTH-WEST,5.0,4.0,3.0,1.0,223,13.0,,
328,63500000,Buddhanilkantha,3215.0,EAST-NORTH,6.0,5.0,3.0,1.0,225,13.0,,
329,55000000,Budhanilkantha,2755.0,SOUTH-WEST,5.0,5.0,2.0,1.0,222,20.0,,
330,79000000,Hattigauda,3155.0,SOUTH-WEST,5.0,6.0,3.0,1.0,334,13.0,,
332,39500000,Budhanilkantha,1.0,SOUTH-WEST,5.0,5.0,2.0,1.0,113,18.0,,
334,45000000,Buddhanilkantha,2930.0,SOUTH-WEST,5.0,4.0,3.0,1.0,223,13.0,,
337,63500000,Buddhanilkantha,3215.0,EAST-NORTH,6.0,5.0,3.0,1.0,225,13.0,,
338,55000000,Budhanilkantha,2755.0,SOUTH-WEST,5.0,5.0,2.0,1.0,222,20.0,,
339,79000000,Hattigauda,3155.0,SOUTH-WEST,5.0,6.0,3.0,1.0,334,13.0,,
341,39500000,Budhanilkantha,1.0,SOUTH-WEST,5.0,5.0,2.0,1.0,113,18.0,,
343,45000000,Buddhanilkantha,2930.0,SOUTH-WEST,5.0,4.0,3.0,1.0,223,13.0,,
346,63500000,Buddhanilkantha,3215.0,EAST-NORTH,6.0,5.0,3.0,1.0,225,13.0,,
347,55000000,Budhanilkantha,2755.0,SOUTH-WEST,5.0,5.0,2.0,1.0,222,20.0,,
348,79000000,Hattigauda,3155.0,SOUTH-WEST,5.0,6.0,3.0,1.0,334,13.0,,
350,39500000,Budhanilkantha,1.0,SOUTH-WEST,5.0,5.0,2.0,1.0,113,18.0,,
352,45000000,Buddhanilkantha,2930.0,SOUTH-WEST,5.0,4.0,3.0,1.0,223,13.0,,
355,63500000,Buddhanilkantha,3215.0,EAST-NORTH,6.0,5.0,3.0,1.0,225,13.0,,
356,55000000,Budhanilkantha,2755.0,SOUTH-WEST,5.0,5.0,2.0,1.0,222,20.0,,
357,79000000,Hattigauda,3155.0,SOUTH-WEST,5.0,6.0,3.0,1.0,334,13.0,,
359,39500000,Budhanilkantha,1.0,SOUTH-WEST,5.0,5.0,2.0,1.0,113,18.0,,
361,45000000,Buddhanilkantha,2930.0,SOUTH-WEST,5.0,4.0,3.0,1.0,223,13.0,,
364,63500000,Buddhanilkantha,3215.0,EAST-NORTH,6.0,5.0,3.0,1.0,225,13.0,,
365,55000000,Budhanilkantha,2755.0,SOUTH-WEST,5.0,5.0,2.0,1.0,222,20.0,,
366,79000000,Hattigauda,3155.0,SOUTH-WEST,5.0,6.0,3.0,1.0,334,13.0,,
368,39500000,Budhanilkantha,1.0,SOUTH-WEST,5.0,5.0,2.0,1.0,113,18.0,,
370,45000000,Buddhanilkantha,2930.0,SOUTH-WEST,5.0,4.0,3.0,1.0,223,13.0,,
373,63500000,Buddhanilkantha,3215.0,EAST-NORTH,6.0,5.0,3.0,1.0,225,13.0,,
374,55000000,Budhanilkantha,2755.0,SOUTH-WEST,5.0,5.0,2.0,1.0,222,20.0,,
375,79000000,Hattigauda,3155.0,SOUTH-WEST,5.0,6.0,3.0,1.0,334,13.0,,
377,39500000,Budhanilkantha,1.0,SOUTH-WEST,5.0,5.0,2.0,1.0,113,18.0,,
379,45000000,Buddhanilkantha,2930.0,SOUTH-WEST,5.0,4.0,3.0,1.0,223,13.0,,
382,63500000,Buddhanilkantha,3215.0,EAST-NORTH,6.0,5.0,3.0,1.0,225,13.0,,
383,55000000,Budhanilkantha,2755.0,SOUTH-WEST,5.0,5.0,2.0,1.0,222,20.0,,
384,79000000,Hattigauda,3155.0,SOUTH-WEST,5.0,6.0,3.0,1.0,334,13.0,,
386,39500000,Budhanilkantha,1.0,SOUTH-WEST,5.0,5.0,2.0,1.0,113,18.0,,
388,45000000,Buddhanilkantha,2930.0,SOUTH-WEST,5.0,4.0,3.0,1.0,223,13.0,,
391,63500000,Buddhanilkantha,3215.0,EAST-NORTH,6.0,5.0,3.0,1.0,225,13.0,,
392,55000000,Budhanilkantha,2755.0,SOUTH-WEST,5.0,5.0,2.0,1.0,222,20.0,,
393,79000000,Hattigauda,3155.0,SOUTH-WEST,5.0,6.0,3.0,1.0,334,13.0,,
395,39500000,Budhanilkantha,1.0,SOUTH-WEST,5.0,5.0,2.0,1.0,113,18.0,,
397,45000000,Buddhanilkantha,2930.0,SOUTH-WEST,5.0,4.0,3.0,1.0,223,13.0,,
400,63500000,Buddhanilkantha,3215.0,EAST-NORTH,6.0,5.0,3.0,1.0,225,13.0,,
401,55000000,Budhanilkantha,2755.0,SOUTH-WEST,5.0,5.0,2.0,1.0,222,20.0,,
402,79000000,Hattigauda,3155.0,SOUTH-WEST,5.0,6.0,3.0,1.0,334,13.0,,
404,39500000,Budhanilkantha,1.0,SOUTH-WEST,5.0,5.0,2.0,1.0,113,18.0,,
406,45000000,Buddhanilkantha,2930.0,SOUTH-WEST,5.0,4.0,3.0,1.0,223,13.0,,
409,63500000,Buddhanilkantha,3215.0,EAST-NORTH,6.0,5.0,3.0,1.0,225,13.0,,
410,55000000,Budhanilkantha,2755.0,SOUTH-WEST,5.0,5.0,2.0,1.0,222,20.0,,
411,79000000,Hattigauda,3155.0,SOUTH-WEST,5.0,6.0,3.0,1.0,334,13.0,,
413,39500000,Budhanilkantha,1.0,SOUTH-WEST,5.0,5.0,2.0,1.0,113,18.0,,
415,45000000,Buddhanilkantha,2930.0,SOUTH-WEST,5.0,4.0,3.0,1.0,223,13.0,,
418,63500000,Buddhanilkantha,3215.0,EAST-NORTH,6.0,5.0,3.0,1.0,225,13.0,,
419,55000000,Budhanilkantha,2755.0,SOUTH-WEST,5.0,5.0,2.0,1.0,222,20.0,,
420,79000000,Hattigauda,3155.0,SOUTH-WEST,5.0,6.0,3.0,1.0,334,13.0,,
422,39500000,Budhanilkantha,1.0,SOUTH-WEST,5.0,5.0,2.0,1.0,113,18.0,,
424,45000000,Buddhanilkantha,2930.0,SOUTH-WEST,5.0,4.0,3.0,1.0,223,13.0,,
427,63500000,Buddhanilkantha,3215.0,EAST-NORTH,6.0,5.0,3.0,1.0,225,13.0,,
428,55000000,Budhanilkantha,2755.0,SOUTH-WEST,5.0,5.0,2.0,1.0,222,20.0,,
429,79000000,Hattigauda,3155.0,SOUTH-WEST,5.0,6.0,3.0,1.0,334,13.0,,
431,39500000,Budhanilkantha,1.0,SOUTH-WEST,5.0,5.0,2.0,1.0,113,18.0,,
433,45000000,Buddhanilkantha,2930.0,SOUTH-WEST,5.0,4.0,3.0,1.0,223,13.0,,
436,63500000,Buddhanilkantha,3215.0,EAST-NORTH,6.0,5.0,3.0,1.0,225,13.0,,
437,55000000,Budhanilkantha,2755.0,SOUTH-WEST,5.0,5.0,2.0,1.0,222,20.0,,
438,79000000,Hattigauda,3155.0,SOUTH-WEST,5.0,6.0,3.0,1.0,334,13.0,,
440,39500000,Budhanilkantha,1.0,SOUTH-WEST,5.0,5.0,2.0,1.0,113,18.0,,
442,45000000,Buddhanilkantha,2930.0,SOUTH-WEST,5.0,4.0,3.0,1.0,223,13.0,,
445,63500000,Buddhanilkantha,3215.0,EAST-NORTH,6.0,5.0,3.0,1.0,225,13.0,,
446,55000000,Budhanilkantha,2755.0,SOUTH-WEST,5.0,5.0,2.0,1.0,222,20.0,,
