,price,location,area,facing,no_of_bedroom,no_of_bathroom,no_of_livingroom,no_of_kitchen,parking,road_size,furniture,floors
594,31000000,Bhaisipati,211.265,East,6.0,3.0,2.0,2.0,10,13.0,,1.0
595,36500000,Imadol,126.759,East,5.0,3.0,2.0,2.0,9,13.0,,1.0
596,15000000,Sheetal,84.506,West,6.0,4.0,2.0,2.0,10,10.0,,1.0
597,22000000,Tikathali,171.12,North,5.0,3.0,3.0,2.0,10,13.0,,1.0
601,50000000,Hattigauda,1500.0,North,7.0,6.0,15.0,2.0,0,17.0,,3.0
602,16000000,Teku,3657.8,South,1.0,1.0,1.0,2.0,0,13.0,,1.0
603,42500000,"Shantinagar,",126.759,South,6.0,4.0,3.0,2.0,11,10.0,,4.0
604,60000000,Bir,700.0,East,1.0,1.0,5.0,2.0,0,6.0,,6.0
606,19500000,Sainik,126.759,North,4.0,3.0,8.0,2.0,8,20.0,,2.0
609,22500000,NEAR,126.759,East,5.0,3.0,11.0,2.0,0,10.0,,3.0
610,33000000,Hariyali,1280.0,East,3.0,4.0,6.0,2.0,0,20.0,,2.5
612,25000000,Simara,211.265,West,1.0,3.0,15.0,2.0,0,20.0,,3.0
614,29000000,Iscon,1500.0,East,1.0,1.0,1.0,2.0,0,16.0,,2.5
616,10500000,Goldhunga,126.759,East,2.0,1.0,4.0,2.0,0,13.0,,1.0
618,30000000,Fulbari,1615.0,West,4.0,2.0,1.0,2.0,0,12.0,,2.0
620,67500000,"Golfutar,",338.024,South,5.0,4.0,12.0,2.0,0,13.0,,3.5
621,29000000,Kageshwori,443.91999999999996,West,5.0,3.0,10.0,2.0,0,20.0,,2.5
622,13000000,Ansari,900.0,South,2.0,2.0,3.0,2.0,0,13.0,,1.5
627,90000000,Maharajgunj,169.012,East,5.0,4.0,1.0,1.0,7,13.0,,2.0
629,11000000,Charikot,1500.0,East,1.0,6.0,10.0,2.0,0,20.0,,3.0
630,30000000,Gothatar,169.012,East,5.0,3.0,9.0,2.0,0,20.0,,2.5
633,31500000,Near,1200.0,East,4.0,3.0,1.0,2.0,0,13.0,,3.0
636,1100000000,Akasay,16.0,East,3.0,3.0,1.0,2.0,0,13.0,,3.0
637,26800000,imadol,158.44875,East,4.0,4.0,2.0,2.0,0,16.0,,3.0
638,7000000,Nepalgunj,2227.0,West,2.0,1.0,5.0,2.0,0,27.0,,1.0
639,16500000,Darjelling,255.626,East,3.0,3.0,5.0,2.0,0,13.0,,2.5
640,19000000,Ochu,341.18600000000004,East,5.0,3.0,9.0,2.0,0,13.0,,1.0
641,30300000,Imadol,383.439,East,6.0,4.0,11.0,2.0,0,16.0,,2.5
642,15500000,Gothatar,126.759,South,2.0,1.0,4.0,2.0,0,13.0,,1.0
643,21700000,Kadaghari,126.759,East,6.0,4.0,11.0,2.0,0,13.0,,2.5
644,26200000,Gothatar,169.012,East,5.0,4.0,10.0,2.0,0,13.0,,2.5
645,30500000,Swayambhu,148.149,East,6.0,5.0,11.0,2.0,0,16.0,,2.5
646,17500000,Gothatar,126.759,East,2.0,2.0,4.0,2.0,0,13.0,,1.0
647,35000000,Sundar,383.439,East,4.0,4.0,10.0,2.0,0,13.0,,2.5
648,31500000,Bhangal,169.539,South,6.0,4.0,10.0,2.0,0,13.0,,2.5
649,27000000,Bhangal,126.759,East,6.0,4.0,10.0,2.0,0,13.0,,2.5
650,39500000,Imadol,169.012,North,7.0,6.0,13.0,2.0,0,18.0,,3.5
651,24500000,Imadol,126.759,East,5.0,4.0,10.0,2.0,0,13.0,,2.5
652,28000000,Imadol,169.539,East,6.0,4.0,11.0,2.0,0,13.0,,2.5
653,22000000,Tikathali,126.759,South,5.0,4.0,11.0,2.0,0,13.0,,2.5
654,49000000,Pokhara,2000.0,East,6.0,3.0,1.0,2.0,0,20.0,,2.5
656,17500000,Tilathali,126.759,South,2.0,1.0,1.0,1.0,4,10.0,,1.0
657,72500000,150,464.783,East,3.0,3.0,5.0,2.0,0,13.0,,2.0
659,23000000,Machhegau,297.879,North,7.0,4.0,11.0,2.0,0,13.0,,2.0
660,40700000,Nakhu,464.783,North,2.0,2.0,2.0,2.0,0,13.0,,1.0
661,57000000,Gyaneshwor,253.518,South,6.0,4.0,13.0,2.0,0,14.0,,3.5
662,15000000,Kapan,84.506,East,1.0,1.0,9.0,2.0,0,8.0,,3.0
663,16000000,Ghatta,126.759,North,2.0,1.0,1.0,1.0,4,12.0,,1.0
664,32500000,"Imadol,",169.012,East,7.0,5.0,11.0,2.0,0,16.0,,3.5
666,28000000,Chamati,135.2096,East,4.0,3.0,1.0,2.0,0,26.0,,2.5
668,252000000,Baneshwor,1183.084,East,4.0,4.0,1.0,2.0,0,13.0,,2.5
669,77500000,Rudreshwor,338.024,South,6.0,5.0,1.0,2.0,0,13.0,,2.5
670,230000000,Dhapasi,1014.072,East,12.0,0.0,15.0,2.0,0,40.0,,4.0
671,33000000,bijeshwori,3.0,East,1.0,1.0,1.0,2.0,0,13.0,,1.0
672,52500000,muhanpokhari,464.783,East,4.0,5.0,7.0,2.0,0,13.0,,2.5
673,22000000,Ratnanagar,1500.0,South,12.0,0.0,10.0,2.0,0,16.0,,1.0
674,22000000,Near,1000.0,West,12.0,6.0,10.0,2.0,0,20.0,,3.0
676,21000000,"Kadaghari,birendra",147.8855,East,6.0,3.0,11.0,2.0,0,6.0,,2.5
677,28500000,Jarankhu,1100.0,East,6.0,3.0,11.0,2.0,0,13.0,,3.0
680,26000000,Near,1200.0,West,6.0,4.0,9.0,2.0,0,13.0,,2.5
681,27500000,Naya,1000.0,East,7.0,6.0,10.0,2.0,0,20.0,,3.0
682,28500000,Near,1300.0,East,7.0,6.0,11.0,2.0,0,13.0,,3.0
683,105000000,hattigauda,642.2456,South,5.0,4.0,9.0,2.0,0,20.0,,2.5
684,21000000,Thankot,126.759,East,4.0,3.0,7.0,2.0,0,984.0,,2.5
685,24000000,Hattiban,3.0,North,3.0,4.0,1.0,2.0,0,20.0,,2.5
686,32000000,bhangal,190.1385,West,7.0,5.0,12.0,2.0,0,13.0,,2.5
687,38000000,Mid,700.0,East,1.0,1.0,1.0,2.0,0,13.0,,3.0
689,19000000,imadol,126.759,East,4.0,3.0,1.0,2.0,0,6.0,,2.5
690,27500000,Ochuheight,1100.0,East,5.0,5.0,1.0,2.0,0,13.0,,3.0
691,25000000,"Lasuntar,Kapan",126.759,North,5.0,3.0,9.0,2.0,0,14.0,,2.5
692,60000000,Budhanilkantha,6.0,North,5.0,5.0,1.0,2.0,0,16.0,,2.5
693,120000000,GahanaPokhari,10.0,North,6.0,6.0,1.0,2.0,0,14.0,,2.5
695,23500000,Tikathali,190.929,East,5.0,4.0,1.0,2.0,9,13.0,,2.5
697,24000000,Maitidevi,1500.0,South,5.0,3.0,2.0,2.0,7,13.0,,2.5
698,26000000,Mahadevsthan,1500.0,East,7.0,5.0,8.0,2.0,0,13.0,,2.5
699,34000000,Grande,3.75,South,6.0,4.0,9.0,2.0,0,13.0,,2.5
700,100000001,jharuwarashi,5814.0,South,12.0,0.0,1.0,2.0,0,10.0,,3.5
702,9000000,Ugranchandi,2.3,East,4.0,2.0,6.0,2.0,0,13.0,,4.5
703,47500000,Rudreshwor,5.5,South,4.0,5.0,1.0,2.0,0,14.0,,2.5
704,37500000,Muhan,5.0,South,6.0,5.0,1.0,2.0,0,14.0,,2.5
705,120000000,Near,13.0,North,5.0,4.0,1.0,2.0,0,14.0,,2.5
707,60000000,Kuleshore,253.518,South,1.0,1.0,1.0,2.0,0,16.0,,3.0
709,9800000,GAGAN,5.5,East,4.0,4.0,1.0,2.0,0,13.0,,1.0
710,11500000,Surunga,1361.0,East,3.0,3.0,7.0,2.0,0,13.0,,2.5
711,77500000,Teku,2560.0,East,7.0,4.0,13.0,2.0,0,10.0,,3.5
712,65000000,Tangal,7.2,North,5.0,3.0,9.0,2.0,0,16.0,,3.5
714,25000000,Changathali,179.57525,South,6.0,3.0,11.0,3.0,0,12.0,,2.5
715,35000000,Sanepa,120.42105000000001,East,3.0,2.0,5.0,2.0,0,13.0,,3.0
716,73500000,Manamaiju,390.84025,South,4.0,3.0,7.0,2.0,0,13.0,,3.0
719,30000000,Tallo,253.518,East,12.0,7.0,14.0,2.0,0,25.0,,3.0
720,100000000,Basundhara,422.53,East,5.0,5.0,14.0,2.0,0,22.0,,2.5
721,22500000,400m,126.759,East,6.0,3.0,11.0,2.0,0,16.0,,3.0
722,28000000,Hattiban,126.759,North,4.0,4.0,1.0,1.0,6,13.0,,2.5
723,31500000,Beside,179.57525,North,6.0,4.0,10.0,2.0,0,13.0,,2.5
725,45000000,Kusunti-13,1000.0,West,6.0,5.0,9.0,2.0,0,13.0,,3.5
728,30750000,Imadol,1070.0,South,3.0,4.0,7.0,2.0,0,10.0,,2.5
729,77000000,hattigauda,490.21974,West,4.0,5.0,1.0,2.0,0,30.0,,2.5
730,187000000,Bhaisepati,22.0,East,1.0,1.0,1.0,2.0,0,13.0,,1.0
731,135000000,Bhaisepati,13.0,South,1.0,1.0,1.0,2.0,0,16.0,,1.0
734,32000000,Dadhikot,4.75,East,7.0,4.0,13.0,2.0,0,13.0,,3.5
736,16000000,Basantapur,700.0,East,12.0,0.0,1.0,2.0,0,13.0,,7.0
737,60000000,Sitapaila,380.277,South,5.0,3.0,5.0,2.0,0,12.0,,2.5
739,25000000,"Ringroad,",424.63800000000003,South,7.0,6.0,14.0,2.0,0,10.0,,3.5
740,4000000,"26.7102432,",1800.0,East,3.0,1.0,1.0,1.0,6,16.0,,1.0
741,28000000,Chauthe,900.0,South,6.0,6.0,10.0,2.0,0,20.0,,2.5
742,4000000,Thasikhel,297.352,West,6.0,2.0,9.0,2.0,0,3.5,,2.0
744,39000000,Baluwakhani,169.012,East,6.0,4.0,12.0,2.0,0,12.0,,3.5
745,13500000,Tarkari,105.6325,East,4.0,2.0,1.0,2.0,0,16.0,,2.5
746,35000000,Dhapakhel,211.265,East,12.0,7.0,2.0,3.0,13+,13.0,,3.5
747,18500000,Sangla,700.0,South,3.0,4.0,9.0,2.0,0,12.0,,3.0
748,15000000,Swayambhu,1000.0,East,1.0,1.0,1.0,2.0,0,13.0,,1.0
749,36000000,"Nakhkhu,",179.57525,South,4.0,5.0,6.0,2.0,0,13.0,,2.5
750,10000000,"Bansbari,",211.265,East,2.0,1.0,4.0,2.0,0,13.0,,1.0
752,20000000,Hattiban,126.759,South,3.0,2.0,6.0,2.0,0,13.0,,2.0
753,59500000,Dadhikot,422.53,East,5.0,6.0,11.0,2.0,0,14.0,,2.5
754,27000000,Tarkeshwor,1711.0,East,6.0,2.0,10.0,2.0,0,20.0,,2.0
757,5700000,Chitawon,1200.0,East,1.0,1.0,1.0,2.0,0,13.0,,1.0
758,39000000,Godawari,190.1385,East,5.0,4.0,5.0,2.0,0,20.0,,2.5
759,43500000,kotesower,1500.0,East,1.0,1.0,1.0,2.0,0,13.0,,3.5
760,13600000,jhaukhel,169.012,East,1.0,1.0,1.0,2.0,0,13.0,,1.0
761,87000000,New,466.36400000000003,East,6.0,3.0,1.0,1.0,0,13.0,,2.0
763,34000000,khusibu,3.2,East,5.0,3.0,5.0,2.0,0,13.0,,2.5
764,24500000,"Narayantar,",126.759,East,5.0,3.0,11.0,2.0,0,13.0,,2.5
765,25000000,Narayanthan,1100.0,East,2.0,1.0,1.0,1.0,4,13.0,,3.0
766,16000000,Budibazar,169.012,East,5.0,5.0,7.0,2.0,0,25.0,,2.0
769,27000000,Gatthghar,700.0,East,3.0,1.0,4.0,2.0,0,6.0,,3.0
770,16200000,Sesmati,1100.0,North,12.0,6.0,14.0,2.0,0,13.0,,3.5
771,26400000,Jarankhu,211.265,East,5.0,6.0,13.0,2.0,0,20.0,,3.0
772,24500000,600,3.0,North,4.0,4.0,9.0,2.0,0,15.0,,2.5
773,3200000,Buddhanagar,1200.0,East,2.0,2.0,4.0,2.0,0,20.0,,1.0
774,70000000,Near,7.0,South,5.0,5.0,1.0,2.0,0,13.0,,2.5
775,75000000,Inside,10.0,North,5.0,4.0,1.0,2.0,0,13.0,,2.5
776,159500000,150,29.0,East,5.0,4.0,1.0,2.0,0,13.0,,2.5
777,35000000,Kapan,4.5,East,6.0,4.0,9.0,2.0,0,13.0,,3.5
778,13500000,balaju,1100.0,South,4.0,2.0,6.0,2.0,0,16.0,,2.5
779,30000000,Banasthali,3.8,South,3.0,2.0,2.0,2.0,0,10.0,,3.5
781,30000000,Bhangal,147.8855,South,3.0,3.0,1.0,2.0,9,10.0,,2.0
782,45000000,"Imadol,",5.0,North,1.0,1.0,1.0,2.0,0,13.0,,1.0
784,33000000,"Imadol,",3.3,West,1.0,1.0,1.0,2.0,0,13.0,,2.5
785,42000000,Near,4.1,South,7.0,5.0,1.0,2.0,0,13.0,,2.5
786,28000000,Guheshwori,700.0,North,5.0,4.0,15.0,2.0,0,13.0,,3.5
787,32000000,Gairikhet,3.0,North,7.0,3.0,12.0,2.0,0,18.0,,2.5
789,89900000,Baneshwor,2203.22,East,8.0,4.0,1.0,2.0,0,13.0,,4.0
790,27500000,Baluwakhani,169.012,West,6.0,3.0,11.0,2.0,0,20.0,,2.5
793,15500000,Khatris,3.5,East,2.0,1.0,1.0,2.0,0,14.0,,1.0
794,17000000,Thankot,147.8855,East,6.0,3.0,10.0,2.0,0,13.0,,2.5
795,80000000,Ganesh,8.1,East,5.0,5.0,1.0,2.0,0,20.0,,2.5
796,105000000,"Maharajgunj,",11.0,East,4.0,4.0,1.0,2.0,0,10.0,,2.5
797,135000000,Dhapasi,16.0,East,5.0,5.0,1.0,2.0,0,13.0,,2.5
798,79000000,Deuba,8.0,East,5.0,5.0,1.0,2.0,0,20.0,,2.5
799,85000000,"Rudreshwor,",11.0,South,6.0,6.0,1.0,2.0,0,13.0,,2.5
800,71500000,Bhaisepati,6.0,North,4.0,5.0,1.0,2.0,0,16.0,,2.5
801,67500000,"Rudreshwor,",6.3,East,5.0,4.0,1.0,2.0,0,20.0,,2.5
802,100000000,Pasikot,20.0,South,5.0,4.0,1.0,2.0,0,16.0,,2.5
803,57500000,Muhan-Pokhari,11.0,North,5.0,5.0,1.0,2.0,0,16.0,,2.5
804,48000000,Budhanilkantha,10.5,East,1.0,1.0,1.0,2.0,0,13.0,,1.0
805,25000000,"Imadol,",3.0,East,1.0,1.0,1.0,2.0,0,16.0,,1.0
806,85000000,"Golfutar,",9.0,East,1.0,1.0,1.0,2.0,0,20.0,,1.0
808,85000000,Bhaisepati,7.0,East,5.0,6.0,1.0,2.0,0,13.0,,2.5
809,12000000,"lalbandi,",1280.0,South,4.0,2.0,2.0,2.0,8,8.0,,2.0
810,140000000,Bhaisepati,8.0,East,6.0,7.0,1.0,2.0,0,13.0,,2.5
811,78000000,"Bhaisepati,",6.02,South,5.0,5.0,1.0,2.0,0,13.0,,2.0
812,85000000,Bhaisepati,7.0,South,5.0,5.0,1.0,2.0,0,13.0,,2.5
813,47500000,Mandikatar,5.0,South,6.0,6.0,1.0,2.0,0,13.0,,2.5
814,39000000,Mandikatar,4.0,East,1.0,1.0,1.0,2.0,0,13.0,,2.5
815,47500000,"Rudreshwor,",4.5,East,4.0,4.0,1.0,2.0,0,20.0,,2.5
816,42000000,Pasikot,5.0,East,1.0,1.0,1.0,2.0,0,13.0,,2.5
817,14000000,Basudev,1000.0,North,5.0,2.0,1.0,2.0,9,7.0,,2.5
820,25000000,Brahmakhel,297.879,North,4.0,2.0,1.0,2.0,0,22.0,,2.0
821,13500000,Dhapasi,2.5,East,6.0,2.0,1.0,2.0,0,6.0,,1.5
823,21000000,Nepaltar,1020.0,East,12.0,4.0,13.0,2.0,0,9.0,,3.5
824,22500000,Sesmati,130.9843,South,12.0,5.0,13.0,2.0,0,13.0,,3.0
825,28500000,Jaranku,211.265,East,5.0,6.0,10.0,2.0,0,20.0,,3.5
826,22000000,Jaranku,148.149,West,12.0,5.0,1.0,2.0,0,13.0,,3.0
827,21900000,Jaranku,126.759,North,12.0,5.0,11.0,2.0,0,13.0,,3.0
828,25000000,Airport,1500.0,East,1.0,1.0,1.0,2.0,0,13.0,,1.0
829,29000000,Lolang,1205.0,South,7.0,6.0,13.0,2.0,0,13.0,,3.5
831,18500000,Tarkeshower,1000.0,East,1.0,3.0,11.0,2.0,11,10.0,,2.5
832,3200000,near,1275.75,East,1.0,1.0,1.0,2.0,0,13.0,,1.0
835,18000000,BIRATNAGAR,1822.5,East,6.0,2.0,7.0,2.0,0,20.0,,2.5
836,36700000,"Maitidevi,",126.759,North,4.0,4.0,15.0,2.0,0,8.0,,4.0
837,21600000,Nepaltar,126.759,North,12.0,4.0,14.0,2.0,0,11.0,,3.5
838,15000000,Thali,4.0,East,2.0,1.0,1.0,1.0,4,12.0,,1.0
839,66000000,"Balkumari,",295.771,North,3.0,6.0,13.0,2.0,0,16.0,,4.5
840,61750000,Bhaisipati,401.4035,East,5.0,2.0,10.0,2.0,0,12.0,,3.0
841,21900000,"Nepaltar,",126.759,East,1.0,1.0,13.0,2.0,0,11.0,,1.0
842,29500000,Imadole,135.2096,East,5.0,3.0,6.0,2.0,0,28.0,,2.5
843,50000000,Birendra,211.265,East,12.0,0.0,15.0,2.0,0,16.0,,4.0
847,30000000,Maitidevi,126.759,South,5.0,3.0,9.0,2.0,0,8.0,,3.0
848,46000000,Shantinagar,126.759,South,12.0,1.0,11.0,2.0,0,10.0,,4.0
851,24000000,Thapa,1500.0,North,4.0,2.0,7.0,2.0,0,26.0,,2.0
852,62500000,Sitapaila,534.0556,South,4.0,5.0,1.0,2.0,0,20.0,,2.5
853,16000000,Near,1000.0,East,4.0,2.0,8.0,2.0,0,10.0,,2.5
855,50000000,Bhaisepati,5.0,East,1.0,1.0,1.0,2.0,0,13.0,,2.5
856,39900000,"Sundarbasti,",211.265,East,1.0,1.0,13.0,2.0,0,20.0,,2.5
857,27500000,Dhalmal,1200.0,South,7.0,3.0,11.0,2.0,0,12.0,,2.5
859,26600000,tikathali,256.68,South,6.0,3.0,11.0,2.0,0,12.0,,2.5
862,31500000,"Shankhamul,",126.759,South,4.0,3.0,1.0,2.0,0,10.0,,3.0
863,65000000,Dhumbarahi,382.385,North,12.0,7.0,15.0,2.0,0,13.0,,3.5
864,67500000,Dhumbhari,424.63800000000003,South,12.0,5.0,1.0,2.0,0,16.0,,2.5
865,30000000,"Chunikhel,",126.759,South,6.0,5.0,11.0,2.0,0,13.0,,3.0
866,10000000,Phutung,126.759,East,2.0,1.0,4.0,2.0,0,8.0,,1.0
868,52500000,Tahachal,513.36,East,1.0,1.0,8.0,2.0,0,8.0,,2.5
869,19500000,"Chunikhel,",84.506,South,4.0,3.0,9.0,2.0,0,10.0,,2.5
871,17000000,"Tarkeshwor-08,",126.759,East,12.0,6.0,14.0,2.0,0,10.0,,3.5
872,35000000,Jorpati,1600.0,South,12.0,5.0,15.0,2.0,0,12.0,,3.5
873,11500000,"Chandragiri,",126.759,South,3.0,1.0,4.0,2.0,0,22.0,,1.0
874,35000000,"Kalanki,",126.759,East,12.0,7.0,15.0,2.0,0,14.0,,4.0
875,28000000,Manamaiju,126.759,East,12.0,6.0,1.0,2.0,0,11.0,,3.0
876,28000000,Balaju,126.759,West,12.0,0.0,15.0,2.0,0,26.0,,3.5
877,16500000,"Thankot,",126.759,West,5.0,1.0,6.0,2.0,0,13.0,,2.0
880,28000000,"Ramkot,",169.012,East,1.0,1.0,1.0,2.0,0,16.0,,2.5
881,25000000,Harisiddhi,700.0,East,6.0,3.0,1.0,2.0,0,16.0,,4.0
882,70000000,Satdobato,422.53,East,12.0,6.0,1.0,2.0,0,16.0,,2.5
883,13500000,Thankot,126.759,West,7.0,2.0,1.0,2.0,0,13.0,,3.0
884,17000000,Thankot,255.09900000000002,North,6.0,3.0,1.0,2.0,0,11.0,,3.0
885,17000000,Thankot,126.759,North,4.0,4.0,9.0,2.0,0,13.0,,3.0
886,22000000,Kadaghari,126.759,West,4.0,1.0,1.0,2.0,0,30.0,,2.5
887,9500000,Sindhuli,3.5,East,4.0,2.0,1.0,2.0,4,13.0,,2.0
888,29000000,Godamchaur,507.036,South,12.0,6.0,15.0,2.0,0,13.0,,2.5
890,32500000,Kapan,211.265,South,6.0,3.0,3.0,3.0,12,13.0,,3.0
894,51500000,Narayanthan,342.2493,South,6.0,3.0,8.0,2.0,0,13.0,,3.0
895,33000000,Rudranagar,190.1385,West,6.0,1.0,10.0,2.0,0,20.0,,3.5
896,26700000,"Chandragiri-06,",211.265,West,6.0,1.0,11.0,2.0,0,20.0,,2.5
897,28500000,"Paiyatar,",126.759,East,7.0,3.0,11.0,2.0,0,13.0,,2.5
898,18000000,Gurung,169.012,North,2.0,4.0,1.0,2.0,0,16.0,,1.0
899,12000000,"Tarkeshwor-04,",318.742,West,1.0,1.0,1.0,2.0,0,3.0,,1.0
900,35000000,Chappal,126.759,South,4.0,4.0,5.0,2.0,0,16.0,,3.5
901,85000000,Sanobharyang,509.144,West,7.0,5.0,1.0,2.0,0,16.0,,4.5
902,17000000,Kathmandu,255.626,West,4.0,2.0,1.0,2.0,0,16.0,,2.5
903,29500000,Dhapasi,126.759,West,5.0,3.0,9.0,2.0,0,13.0,,2.5
904,29000000,Jalpa,169.012,South,1.0,1.0,11.0,2.0,0,13.0,,1.0
905,57500000,Nakhipot,1500.0,East,5.0,6.0,15.0,2.0,0,20.0,,3.5
907,17200000,"Khahare,",126.759,South,5.0,1.0,9.0,2.0,0,10.0,,1.0
908,32500000,"Kadaghari,",147.8855,East,6.0,1.0,12.0,2.0,0,13.0,,1.0
909,27000000,"Narephat,",105.6325,East,1.0,1.0,9.0,2.0,0,28.0,,1.0
910,25500000,"BUDHANILKANTHA,",215.4903,East,5.0,3.0,9.0,2.0,0,14.0,,1.0
911,29000000,Kapan,169.012,South,1.0,1.0,1.0,2.0,0,10.0,,3.0
912,27500000,Paradise,126.759,South,3.0,3.0,7.0,2.0,0,13.0,,1.0
913,41000000,"Sanep,",126.759,South,6.0,5.0,7.0,2.0,0,10.0,,2.5
914,38500000,Nayabasti,425.692,East,6.0,5.0,10.0,2.0,0,20.0,,2.5
915,23000000,Siddhikali,169.012,North,5.0,3.0,9.0,2.0,9,20.0,,3.0
917,28500000,"Besigaun,",190.1385,South,5.0,2.0,6.0,2.0,6,12.0,,2.5
918,50000000,Hattiban,1200.0,North,4.0,3.0,1.0,2.0,0,20.0,,2.5
919,26000000,Bhojad,1098.578,South,4.0,4.0,6.0,2.0,0,20.0,,2.0
920,58000000,Bafal,616.0939999999999,East,6.0,5.0,8.0,2.0,0,12.0,,2.5
922,20500000,Tribhuwan,169.012,North,5.0,4.0,1.0,2.0,0,13.0,,2.5
923,60000000,Gwarko,338.024,East,12.0,6.0,15.0,2.0,0,10.0,,3.5
925,56000000,Narayanghat,1000.0,East,1.0,1.0,1.0,2.0,0,6.0,,1.0
926,23500000,nayabasti,5.0,South,1.0,1.0,8.0,2.0,0,10.0,,2.0
929,26000000,Naikap,4.0,East,3.0,3.0,8.0,2.0,0,13.0,,2.5
930,13000000,gokarna,126.759,East,2.0,1.0,4.0,2.0,0,13.0,,1.0
933,25000000,Kalikasthan,85.56,East,3.0,2.0,5.0,2.0,0,13.0,,2.5
934,38000000,Sanothimi,342.24,West,6.0,4.0,15.0,2.0,0,13.0,,2.5
935,32500000,Imadol,169.012,North,5.0,4.0,9.0,2.0,0,13.0,,2.5
939,140000000,"Chamati,",388.6191,West,1.0,1.0,1.0,2.0,0,26.0,,6.0
940,7500000,Bhuwanbasti,3645.0,North,4.0,1.0,1.0,1.0,6,20.0,,1.0
941,16000000,Bhuwanbasti,7290.0,South,6.0,2.0,2.0,2.0,10,20.0,,2.5
942,17000000,Banepa,1000.0,East,12.0,4.0,14.0,2.0,14,20.0,,3.5
944,17500000,Jorpati,1500.0,East,2.0,1.0,5.0,2.0,0,13.0,,1.5
945,27000000,Kageshwori,126.759,North,6.0,3.0,11.0,2.0,0,13.0,,2.5
947,16000000,Imadol,500.0,South,2.0,2.0,5.0,2.0,0,13.0,,1.5
948,16500000,"Imadol,",126.759,East,2.0,1.0,5.0,2.0,0,13.0,,1.5
949,67500000,Panipokhari,250.08010000000002,North,4.0,1.0,5.0,2.0,0,20.0,,3.5
950,45000000,Samakhusi,1711.25,East,7.0,4.0,2.0,2.0,10,10.0,,2.5
951,30000000,"Taukhel,",1540.125,East,5.0,5.0,8.0,2.0,0,6.0,,2.5
952,16000000,mulpani,1000.0,East,4.0,3.0,8.0,2.0,0,10.0,,3.5
953,17500000,Gothatar,126.759,East,4.0,3.0,8.0,2.0,8,13.0,,2.5
954,17000000,Near,1200.0,East,6.0,2.0,6.0,2.0,0,10.0,,2.5
958,55000000,Deuwa,338.024,East,8.0,4.0,11.0,2.0,0,12.0,,2.5
960,21000000,"Sudal,",383.439,East,8.0,3.0,11.0,2.0,0,10.0,,3.5
963,100000000,Bishalnagar,338.024,South,5.0,3.0,6.0,2.0,0,16.0,,2.5
964,105000000,Khusibu,381.331,South,8.0,5.0,12.0,2.0,0,16.0,,4.0
965,36500000,Khumaltar,319.269,East,3.0,4.0,3.0,2.0,0,13.0,,2.5
966,70000000,Sukhedhara,295.771,East,4.0,3.0,4.0,2.0,0,12.0,,2.5
967,77000000,Sanepa,380.277,East,6.0,4.0,9.0,2.0,0,13.0,,2.5
969,23500000,Imadol,126.759,East,4.0,4.0,1.0,2.0,7,13.0,,2.5
970,31000000,Setipakha,169.012,East,1.0,1.0,1.0,2.0,0,13.0,,1.0
971,26000000,Panchakanya,169.012,North,2.0,2.0,1.0,1.0,4,10.0,,2.0
972,42000000,Kohinoor,169.012,South,4.0,3.0,5.0,2.0,0,14.0,,2.5
973,160000000,Koteswore,718.301,East,6.0,4.0,1.0,2.0,0,20.0,,2.5
975,75000000,sanepa,380.277,South,5.0,2.0,7.0,2.0,0,20.0,,2.0
976,8000000,Sanischare,151.25,East,4.0,1.0,1.0,2.0,4,24.0,,1.0
979,23500000,Kapan,147.8855,South,5.0,3.0,10.0,2.0,0,10.0,,2.5
980,26500000,Kapan,169.012,East,5.0,3.0,10.0,2.0,0,10.0,,2.5
982,16000000,Imadol,148.149,East,2.0,2.0,1.0,1.0,4,13.0,,1.0
983,35500000,Sitapaila,1500.0,East,6.0,4.0,10.0,2.0,0,10.0,,2.5
984,150000000,Futung,3.5,South,2.0,1.0,4.0,2.0,0,16.0,,1.0
985,30000000,Near,212.31900000000002,West,3.0,4.0,8.0,2.0,0,13.0,,2.5
986,19500000,3,126.759,West,6.0,3.0,9.0,2.0,0,13.0,,2.5
987,28000000,Lamachaur,169.012,East,6.0,5.0,10.0,2.0,10,13.0,,2.5
989,22350000,Balkhu,126.759,North,3.0,3.0,1.0,1.0,6,5.0,,2.5
990,29500000,Goldhunga,1500.0,West,8.0,4.0,15.0,2.0,0,10.0,,3.5
991,45000000,Banasthali,361.522,North,7.0,5.0,9.0,2.0,0,13.0,,3.0
994,12700000,"Lambagar,",126.759,North,3.0,1.0,4.0,2.0,0,10.0,,1.0
996,200000000,Old,5602.759,West,8.0,5.0,1.0,2.0,0,20.0,,3.5
997,39500000,Grande,200.70175,North,4.0,3.0,6.0,2.0,0,20.0,,1.0
998,11500000,Siran,1200.0,West,8.0,3.0,3.0,2.0,0,12.0,,2.5
999,41500000,Koteshwor,126.759,East,1.0,4.0,9.0,2.0,0,10.0,,3.5
1000,24000000,Kageshwori,147.8855,East,6.0,3.0,11.0,2.0,0,20.0,,2.5
1001,120000000,Tinkune,507.036,South,8.0,5.0,15.0,2.0,0,20.0,,3.5
1002,55000000,Lubhu,253.518,North,7.0,5.0,13.0,2.0,0,16.0,,3.5
1003,750000000,Duwakot,130.9843,South,4.0,1.0,4.0,2.0,0,10.0,,1.0
